Latitud,Habitaciones,Baños,Superficie_m2,Ascensor,Aire_Acondicionado,Calefaccion,Parking,Balcon,Terraza,Piscina,Precio_Medio_cp,Precio
40.437813,3,1,96,1,0,1,0,0,0,0,673599,430000
40.402237,3,2,81,1,1,1,0,1,0,0,219078,295000
40.38883,3,2,86,1,0,0,0,0,1,0,226302,225000
40.452263,4,3,164,1,0,1,0,1,1,0,923762,800000
40.440704,3,1,84,1,1,1,0,1,1,0,379788,255000
40.467205,3,1,86,1,1,1,0,1,1,0,911651,319000
40.423214,2,2,71,1,1,1,0,0,0,0,941621,450000
40.441456,2,2,106,1,1,1,0,0,0,0,379788,460000
40.436066,3,2,105,1,1,1,0,0,0,0,1023319,1050000
40.39607,3,1,77,1,1,1,1,0,0,0,199225,210000
40.45904,2,2,107,1,1,1,0,0,0,0,911651,540000
40.44748,2,1,43,1,1,1,0,0,0,0,700100,199000
40.453598,4,3,175,1,0,1,0,1,1,0,597620,870000
40.47642,5,2,170,1,0,1,0,0,1,0,347317,480000
40.408855,3,1,80,1,0,1,0,1,0,0,440796,385000
40.481434,4,2,102,1,0,1,0,0,1,0,718994,360000
40.499187,2,2,80,1,1,1,0,0,0,0,480497,395000
40.47875,2,1,75,1,0,1,0,0,0,0,733699,310000
40.48519,1,1,52,1,0,1,0,0,0,0,480497,201000
40.39282,2,1,45,0,0,1,0,0,1,0,357857,147000
40.47793,2,1,64,1,0,1,0,1,0,0,347317,254020
40.45913,2,1,77,1,1,0,1,0,0,0,597620,550000
40.43026,2,3,92,1,0,1,0,0,0,0,1207212,750000
40.387,3,1,90,0,0,1,0,0,0,0,202513,172000
40.47426,2,1,70,0,0,1,0,1,1,0,471372,230000
40.384647,4,2,176,1,1,1,1,1,1,1,202513,570000
40.448376,5,3,282,1,1,1,0,0,1,0,597620,1100000
40.42705,2,1,54,0,1,1,0,0,0,0,260568,140000
40.42986,2,2,97,1,1,1,0,1,0,0,1023319,790000
40.42128,1,1,76,0,1,1,0,1,0,0,766309,350000
40.425457,1,1,60,0,1,1,0,0,0,0,260568,129000
40.447693,3,1,81,1,1,0,0,0,0,0,597620,360000
40.414455,4,2,117,1,0,0,0,1,0,0,440796,600000
40.434444,2,2,97,1,1,1,1,0,0,1,260568,385000
40.40322,3,1,70,0,0,1,0,0,1,0,219078,249000
40.443455,1,1,65,1,1,1,0,0,0,0,700100,342000
40.442608,1,1,82,1,1,1,1,0,0,1,280852,268000
40.40258,2,3,197,1,1,1,1,0,0,1,421413,1200000
40.397346,2,1,48,0,1,0,0,0,0,0,164928,103000
40.37112,2,2,96,1,1,1,0,0,0,0,255165,269900
40.42591,2,1,69,1,0,1,0,0,1,0,766309,544000
40.38275,2,1,61,1,0,1,0,0,1,0,192864,178000
40.409225,2,1,65,0,1,0,0,0,0,0,440796,235000
40.439075,3,2,120,1,1,1,0,0,0,0,700100,799000
40.37938,2,1,66,1,1,0,0,0,1,0,192864,179000
40.456978,6,5,261,1,1,0,0,0,1,0,597620,1395000
40.439434,2,1,66,1,0,1,0,0,0,0,898889,435000
40.408447,2,1,123,1,0,1,0,0,0,0,529747,505000
40.420338,2,2,137,1,1,1,0,0,1,0,760050,1350000
40.447067,3,3,286,1,1,0,1,0,1,0,645360,975000
40.446564,1,2,168,1,0,1,0,0,0,0,700100,585000
40.415474,6,3,192,1,1,1,1,0,1,0,259011,760000
40.435238,3,2,141,1,1,1,0,0,1,0,260568,540000
40.420586,2,2,137,1,0,1,0,1,0,0,760050,850000
40.41076,3,2,184,0,0,1,0,1,0,0,440796,659900
40.39188,2,2,92,1,1,1,1,0,1,1,357857,575000
40.478073,3,2,107,1,1,1,0,0,1,0,733699,425000
40.4659,4,3,270,1,1,1,0,1,1,1,1274253,1540000
40.43985,2,1,49,0,1,1,0,0,0,0,379788,155000
40.349583,3,2,86,1,0,1,1,0,0,0,156772,244999
40.349556,2,1,64,1,0,1,1,0,0,0,156772,199999
40.372482,3,1,93,1,0,1,0,0,1,0,192864,220000
40.435436,3,1,69,1,1,0,0,1,0,0,673599,470000
40.397923,3,2,86,1,1,1,0,0,1,0,357857,435000
40.463623,3,1,65,1,0,1,1,1,1,0,911651,235000
40.430153,2,1,48,1,1,1,0,0,0,0,260568,168000
40.440815,3,2,132,1,0,1,0,0,0,0,603234,495000
40.436447,2,1,104,1,1,1,0,0,0,0,1023319,545000
40.441975,5,3,223,1,1,1,0,0,1,0,898889,995000
40.3982,2,1,76,1,0,1,0,0,1,0,357857,355000
40.426765,1,2,120,1,1,1,0,0,0,0,747577,650000
40.4311,2,1,67,1,1,1,0,0,0,0,238758,180000
40.36758,2,1,33,0,1,1,0,0,0,0,192864,115000
40.39671,3,1,69,0,0,1,0,0,1,0,164928,155000
40.376717,2,1,58,1,1,1,0,0,0,0,202513,148000
40.422657,2,2,98,1,1,1,1,0,1,0,747577,930000
40.445087,5,5,145,1,1,1,0,0,0,0,898889,720000
40.45168,7,5,265,1,1,0,1,0,1,0,911651,1145000
40.406384,4,2,133,1,1,1,0,0,0,1,529747,549000
40.405113,3,2,105,1,1,1,0,1,0,0,856046,455000
40.43484,4,2,150,1,0,1,1,1,1,0,673599,990000
40.392155,4,4,98,0,1,1,0,0,0,0,199225,299000
40.466415,4,2,129,1,0,0,1,0,0,0,347317,580000
40.40415,1,1,36,1,0,1,0,0,0,0,164928,165000
40.40415,2,2,61,1,0,1,0,1,1,0,164928,240000
40.419693,2,1,49,1,1,1,0,0,0,0,760050,425000
40.45329,3,2,190,1,1,1,0,0,1,0,457692,625000
40.438164,4,5,307,1,1,1,0,0,1,0,1207212,2500000
40.42989,3,3,130,1,1,1,0,0,0,0,1023319,820000
40.440598,6,4,298,1,0,1,0,1,0,0,898889,1250000
40.499413,4,4,200,1,1,1,1,0,1,0,718994,850000
40.441032,2,1,68,1,0,0,0,0,0,0,700100,380000
40.420303,2,2,130,1,1,1,0,1,0,1,760050,700000
40.420616,3,2,177,1,1,1,1,0,1,0,280852,475000
40.48758,4,2,117,1,1,1,0,0,1,0,733699,395000
40.426495,1,2,101,0,1,1,0,1,0,0,747577,575000
40.433895,3,1,79,1,0,0,0,0,0,0,603234,498000
40.429893,4,1,121,1,0,1,0,0,0,0,238758,398000
40.473694,1,2,77,1,1,1,1,0,1,0,733699,320000
40.41133,2,1,72,1,1,1,0,0,0,0,440796,334000
40.473072,5,3,270,1,1,1,1,0,1,0,1274253,1280000
40.45053,3,3,188,1,1,1,0,0,0,0,597620,990000
40.432796,3,2,156,1,1,1,1,1,1,0,238758,324000
40.353397,3,2,100,1,1,1,1,0,1,0,212177,299999
40.428364,2,3,146,0,1,1,0,0,0,0,1709528,1590000
40.460762,2,1,59,0,0,1,0,0,0,0,302278,199000
40.454346,5,3,205,1,0,1,0,1,1,0,597620,960000
40.428814,2,1,48,1,1,1,0,0,0,0,260568,168000
40.41549,3,1,88,1,0,1,0,0,0,0,941621,475000
40.38379,3,2,108,0,1,1,0,0,0,0,166500,172500
40.46348,3,1,131,0,0,1,0,0,1,0,597620,457000
40.44143,2,1,57,0,0,1,0,0,1,0,379788,175000
40.357475,3,1,70,1,1,1,0,0,1,0,212177,177000
40.467545,2,1,84,1,1,0,0,0,1,0,347317,335000
40.375954,2,1,61,0,1,1,0,0,0,0,197312,126900
40.43781,3,1,97,1,1,1,0,0,1,0,673599,597000
40.40578,2,2,90,0,1,1,0,0,0,0,259011,360000
40.421005,3,3,180,1,1,1,0,0,0,1,747577,1210000
40.43709,3,2,87,0,0,0,0,0,0,0,379788,401000
40.436268,3,2,103,1,1,1,0,0,1,0,260568,359000
40.428837,3,5,243,1,1,1,0,0,1,0,1023319,1750000
40.40868,4,3,197,0,1,1,0,1,1,0,421413,640000
40.39324,2,1,49,0,1,1,0,0,0,0,152717,109000
40.47047,1,1,53,1,1,1,0,0,0,1,471372,298000
40.38176,2,1,65,1,0,1,0,0,1,0,199225,145000
40.46265,5,3,225,1,1,1,0,0,1,0,1134196,1550000
40.42558,4,3,182,1,1,1,0,1,1,0,941621,1250000
40.35205,3,1,80,1,1,1,0,0,1,0,156772,147000
40.42552,3,3,190,1,1,1,0,0,0,0,941621,1750000
40.43348,3,2,98,1,0,1,0,0,1,0,1709528,610000
40.342537,3,3,152,1,1,1,0,0,1,0,156772,309000
40.408756,2,2,106,1,1,1,0,1,0,0,440796,729000
40.429703,1,1,60,1,0,1,0,0,1,0,1023319,460000
40.49869,4,4,200,1,1,1,0,0,0,0,718994,850000
40.477066,4,3,155,0,0,1,0,0,1,0,471372,679000
40.505054,3,2,127,1,1,1,0,1,1,1,480497,548000
40.422432,2,2,112,1,1,1,0,0,0,0,1709528,1290000
40.36639,3,2,153,1,0,0,0,0,0,0,314346,335000
40.484413,4,2,131,1,1,1,0,0,0,0,718994,415000
40.484734,4,3,146,1,0,1,1,0,0,0,718994,515000
40.43989,2,2,130,1,1,1,0,1,0,0,898889,790000
40.432518,3,1,70,0,0,0,0,0,0,0,238758,140800
40.44424,3,2,103,1,1,1,0,0,0,0,700100,580000
40.420918,2,1,39,0,0,0,0,0,0,0,760050,199000
