Codigo_Postal,Latitud,Longitud,Habitaciones,Baños,Superficie_m2,Piso,Ascensor,Aire_Acondicionado,Calefaccion,Parking,Balcon,Terraza,Piscina,Precio_Medio_cp,Precio
17,40.429893,-3.6566148,4,1,121,9,1,0,1,0,0,0,0,238758,398000
35,40.473694,-3.7241828,1,2,77,3,1,1,1,1,0,1,0,733699,320000
12,40.41133,-3.7051992,2,1,72,8,1,1,1,0,0,0,0,440796,334000
23,40.473072,-3.7855272,5,3,270,7,1,1,1,1,0,1,0,1274253,1280000
20,40.45053,-3.6950674,3,3,188,8,1,1,1,0,0,0,0,597620,990000
17,40.432796,-3.6416545,3,2,156,9,1,1,1,1,1,1,0,238758,324000
41,40.353397,-3.6897807,3,2,100,10,1,1,1,1,0,1,0,212177,299999
1,40.428364,-3.6850512,2,3,146,7,0,1,1,0,0,0,0,1709528,1590000
39,40.460762,-3.702984,2,1,59,3,0,0,1,0,0,0,0,302278,199000
20,40.454346,-3.6917098,5,3,205,9,1,0,1,0,1,1,0,597620,960000
37,40.428814,-3.624263,2,1,48,8,1,1,1,0,0,0,0,260568,168000
